InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
523127,21811,CHRISTMAS HANGING HEART WITH BELL,1,2010-09-20 13:41:00,1.25,17259.0,United Kingdom
568565,23317,BLUE REFECTORY CLOCK ,1,2011-09-27 17:31:00,9.95,,United Kingdom
566726,23268,SET OF 2 CERAMIC CHRISTMAS REINDEER,3,2011-09-14 13:12:00,1.45,15021.0,United Kingdom
517578,21985,PACK OF 12 HEARTS DESIGN TISSUES ,48,2010-07-30 10:44:00,0.29,14346.0,United Kingdom
532149,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,12,2010-11-11 12:04:00,0.85,15290.0,United Kingdom
496321,84402D,PINK DRESS JEWELLERY STAND ,2,2010-01-31 12:43:00,2.95,16014.0,United Kingdom
525900,21932,SCANDINAVIAN PAISLEY PICNIC BAG,5,2010-10-07 15:41:00,2.95,15314.0,United Kingdom
529265,21945,STRAWBERRIES  DESIGN FLANNEL ,12,2010-10-27 11:45:00,0.85,17473.0,United Kingdom
497494,47566,PARTY BUNTING,10,2010-02-10 08:44:00,4.65,13092.0,United Kingdom
546888,20659,ECONOMY LUGGAGE TAG,5,2011-03-17 18:15:00,2.46,,United Kingdom
576864,21263,GREEN GOOSE FEATHER TREE 60CM,2,2011-11-16 16:06:00,1.95,12748.0,United Kingdom
547063,22329,ROUND CONTAINER SET OF 5 RETROSPOT,2,2011-03-20 13:33:00,1.65,14769.0,United Kingdom
506566,21439,BASKET OF TOADSTOOLS,6,2010-04-30 12:46:00,1.25,14648.0,United Kingdom
501789,22241,GARLAND WOODEN HAPPY EASTER,1,2010-03-19 13:01:00,1.25,15768.0,United Kingdom
496579,22325,MOBILE VINTAGE HEARTS ,1,2010-02-02 13:48:00,4.95,12748.0,United Kingdom
568510,23343,JUMBO BAG VINTAGE CHRISTMAS ,18,2011-09-27 12:26:00,2.08,13555.0,United Kingdom
526140,21124,SET/10 BLUE SPOTTY PARTY CANDLES,24,2010-10-08 14:40:00,1.25,14665.0,United Kingdom
541827,21026,SPACE OWL,7,2011-01-21 17:05:00,0.83,,United Kingdom
535531,37446,MINI CAKE STAND WITH HANGING CAKES,3,2010-11-26 15:16:00,1.45,17841.0,United Kingdom
566062,23398,HANGING HEART BONHEUR,48,2011-09-08 15:39:00,0.85,14522.0,United Kingdom
566438,23410,CURIO CABINET LINEN AND LACE ,1,2011-09-12 15:14:00,8.15,15996.0,United Kingdom
578844,47591D,PINK FAIRY CAKE CHILDRENS APRON,1,2011-11-25 16:14:00,4.13,,United Kingdom
567211,84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,8,2011-09-19 11:02:00,0.42,14159.0,United Kingdom
576339,21905,MORE BUTTER METAL SIGN ,1,2011-11-14 15:27:00,1.63,14096.0,United Kingdom
551158,21468,BUTTERFLY CROCHET FOOD COVER,3,2011-04-26 15:00:00,3.75,16823.0,United Kingdom
501919,85163A,WHITE BAROQUE WALL CLOCK ,2,2010-03-22 10:21:00,12.75,13148.0,United Kingdom
524307,22467,GUMBALL COAT RACK,12,2010-09-28 13:54:00,2.55,17092.0,United Kingdom
564840,21774,DECORATIVE CATS BATHROOM BOTTLE,2,2011-08-30 12:49:00,2.46,,United Kingdom
523718,85099B,JUMBO BAG RED RETROSPOT,10,2010-09-23 15:48:00,1.95,13985.0,United Kingdom
533452,22633,HAND WARMER UNION JACK,24,2010-11-17 11:48:00,2.1,16258.0,United Kingdom
495379,22381,TOY TIDY PINK RETROSPOT  ,2,2010-01-24 13:46:00,2.1,17611.0,United Kingdom
517328,21535,RED RETROSPOT SMALL MILK JUG,12,2010-07-28 12:46:00,2.55,13408.0,United Kingdom
492795,85178,VICTORIAN SEWING KIT,8,2009-12-20 10:43:00,1.25,18077.0,United Kingdom
493446,85113,POLKA DOT PISTACHIO PAIL,3,2010-01-04 14:00:00,2.1,17807.0,United Kingdom
494990,84992,72 SWEETHEART FAIRY CAKE CASES,24,2010-01-20 11:54:00,0.55,14388.0,United Kingdom
524299,22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,12,2010-09-28 13:13:00,0.85,14911.0,EIRE
C517887,22423,REGENCY CAKESTAND 3 TIER,-1,2010-08-03 08:55:00,12.75,16094.0,United Kingdom
534398,22867,HAND WARMER BIRD DESIGN,12,2010-11-22 13:25:00,2.1,13889.0,United Kingdom
528577,21864,UNION JACK FLAG PASSPORT COVER ,5,2010-10-22 13:13:00,4.21,,United Kingdom
544150,22762,CUPBOARD 3 DRAWER MA CAMPAGNE,1,2011-02-16 11:59:00,14.95,14180.0,United Kingdom
504427,22323,PINK POLKADOT KIDS BAG,1,2010-04-13 13:21:00,1.95,14030.0,United Kingdom
568798,22111,SCOTTIE DOG HOT WATER BOTTLE,3,2011-09-29 10:23:00,4.95,12615.0,France
533088,22311,OFFICE MUG WARMER BLACK+SILVER ,48,2010-11-16 10:05:00,2.55,12357.0,Switzerland
521791,20669,RED HEART LUGGAGE TAG,6,2010-09-08 13:30:00,1.25,14667.0,United Kingdom
519932,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-08-22 16:05:00,1.69,17231.0,United Kingdom
531362,21136,PAINTED METAL PEARS ASSORTED,1,2010-11-07 14:28:00,1.69,13561.0,United Kingdom
522983,22666,RECIPE BOX PANTRY YELLOW DESIGN,1,2010-09-19 14:07:00,2.95,17913.0,United Kingdom
565439,84991,60 TEATIME FAIRY CAKE CASES,24,2011-09-04 13:56:00,0.55,14852.0,United Kingdom
491969,21396,RED SPOTTY EGG CUP ,1,2009-12-14 17:57:00,3.43,,United Kingdom
517235,82616A,BUBBLE GUM SCARF KNITTING KIT,1,2010-07-27 13:52:00,2.95,12804.0,Netherlands
500498,22487,WHITE WOOD GARDEN PLANT LADDER,4,2010-03-08 13:17:00,8.5,17672.0,United Kingdom
501161,20990,SPRING FLOWER CHOPSTICKS SET/5,2,2010-03-15 09:28:00,4.21,,United Kingdom
566723,23399,HOME SWEET HOME HANGING HEART,12,2011-09-14 13:02:00,0.85,15804.0,United Kingdom
516941,20961,STRAWBERRY BATH SPONGE ,1,2010-07-25 14:30:00,1.25,15898.0,United Kingdom
527095,22403,MAGNETS PACK OF 4 VINTAGE LABELS ,1,2010-10-14 16:24:00,1.25,17823.0,United Kingdom
508184,85164B,BLACK BAROQUE CUCKOO CLOCK,6,2010-05-13 12:47:00,8.5,13078.0,United Kingdom
581219,22727,ALARM CLOCK BAKELIKE RED ,1,2011-12-08 09:28:00,7.46,,United Kingdom
526473,21034,REX CASH+CARRY JUMBO SHOPPER,1,2010-10-11 17:01:00,0.95,16407.0,United Kingdom
545996,22083,PAPER CHAIN KIT RETROSPOT,3,2011-03-08 14:12:00,2.95,14367.0,United Kingdom
574738,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,3,2011-11-06 16:01:00,3.95,12748.0,United Kingdom
560248,23187,FRENCH STYLE STORAGE JAR BONBONS,6,2011-07-17 12:24:00,0.29,16255.0,United Kingdom
548011,22382,LUNCH BAG SPACEBOY DESIGN ,200,2011-03-29 11:14:00,1.45,14646.0,Netherlands
C512668,22184,CAKE STAND VICTORIAN FILIGREE LARGE,-2,2010-06-17 11:33:00,8.5,16158.0,United Kingdom
528092,20981,12 PENCILS TALL TUBE WOODLAND,2,2010-10-20 13:19:00,0.85,14449.0,United Kingdom
525524,85099B,JUMBO BAG RED RETROSPOT,10,2010-10-05 17:55:00,1.95,15750.0,United Kingdom
560646,23134,LARGE ZINC HEART WALL ORGANISER,87,2011-07-20 11:28:00,5.88,18102.0,United Kingdom
543450,21086,SET/6 RED SPOTTY PAPER CUPS,5,2011-02-08 12:12:00,1.63,,United Kingdom
576355,22920,HERB MARKER BASIL,12,2011-11-14 16:28:00,0.65,13089.0,United Kingdom
556241,23052,RECYCLED ACAPULCO MAT TURQUOISE,2,2011-06-09 16:04:00,8.25,12597.0,Spain
569652,23321,SMALL WHITE HEART OF WICKER,12,2011-10-05 12:51:00,1.65,15628.0,United Kingdom
562129,85099B,JUMBO BAG RED RETROSPOT,10,2011-08-03 09:09:00,2.08,13186.0,United Kingdom
515910,17091A,LAVENDER INCENSE IN TIN,36,2010-07-15 13:17:00,0.38,14298.0,United Kingdom
495331,20726,LUNCH BAG WOODLAND,4,2010-01-22 16:28:00,1.65,17799.0,United Kingdom
533423,21914,BLUE HARMONICA IN BOX ,12,2010-11-17 11:19:00,1.25,16386.0,United Kingdom
519714,20681,PINK SPOTTY CHILDS UMBRELLA,12,2010-08-19 15:45:00,3.25,17829.0,United Arab Emirates
C567686,20728,LUNCH BAG CARS BLUE,-10,2011-09-21 16:42:00,1.65,17702.0,United Kingdom
570265,22722,SET OF 6 SPICE TINS PANTRY DESIGN,24,2011-10-10 10:07:00,3.45,15125.0,United Kingdom
566033,22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,1,2011-09-08 13:07:00,4.95,16031.0,United Kingdom
539437,22962,JAM JAR WITH PINK LID,12,2010-12-17 14:54:00,1.66,,United Kingdom
570694,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,2011-10-12 08:10:00,2.95,14911.0,EIRE
573553,20970,PINK FLORAL FELTCRAFT SHOULDER BAG,1,2011-10-31 13:48:00,7.46,,United Kingdom
506097,22423,REGENCY CAKESTAND 3 TIER,3,2010-04-27 12:20:00,12.75,16456.0,United Kingdom
545013,20725,LUNCH BAG RED RETROSPOT,20,2011-02-25 13:09:00,1.65,13093.0,United Kingdom
576618,90036C,"FLOWER GLASS GARLAND NECKL.36""BLUE",1,2011-11-15 17:00:00,7.9,,United Kingdom
567673,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,1,2011-09-21 15:43:00,5.79,,United Kingdom
550579,22629,SPACEBOY LUNCH BOX ,12,2011-04-19 11:52:00,1.95,13266.0,United Kingdom
571275,23194,GYMKHANA TREASURE BOOK BOX,1,2011-10-16 12:28:00,2.25,15994.0,United Kingdom
506556,22458,CAST IRON HOOK GARDEN FORK,2,2010-04-30 11:28:00,2.55,14994.0,United Kingdom
536216,22634,CHILDS BREAKFAST SET SPACEBOY ,1,2010-11-30 13:41:00,9.95,14390.0,United Kingdom
544806,21927,BLUE/CREAM STRIPE CUSHION COVER ,12,2011-02-23 14:50:00,1.25,15932.0,United Kingdom
537240,21894,POTTING SHED SEED ENVELOPES,3,2010-12-06 10:08:00,2.51,,United Kingdom
520179,22198,LARGE POPCORN HOLDER ,10,2010-08-24 13:46:00,1.65,16550.0,United Kingdom
522813,22643,SET OF 4 NAPKIN CHARMS LEAVES   ,6,2010-09-16 18:09:00,2.55,15664.0,United Kingdom
490011,37464,ROBOT MUG IN DISPLAY BOX,5,2009-12-03 12:27:00,1.25,16918.0,United Kingdom
491457,21146,ANTIQUE GLASS RIDGED HANGING BALL,4,2009-12-11 11:26:00,1.95,15998.0,United Kingdom
548012,21929,JUMBO BAG PINK VINTAGE PAISLEY,5,2011-03-29 11:15:00,1.95,17377.0,United Kingdom
534204,22866,HAND WARMER SCOTTY DOG DESIGN,12,2010-11-21 15:30:00,2.1,15634.0,United Kingdom
552514,20719,WOODLAND CHARLOTTE BAG,2,2011-05-09 16:30:00,1.63,,United Kingdom
507178,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,60,2010-05-06 15:17:00,2.1,14646.0,Netherlands
548516,22193,RED DINER WALL CLOCK,1,2011-03-31 16:28:00,16.63,,United Kingdom
542386,22835,HOT WATER BOTTLE I AM SO POORLY,8,2011-01-27 14:35:00,4.65,17540.0,United Kingdom
498416,48187,DOOR MAT NEW ENGLAND,2,2010-02-18 16:16:00,7.49,14783.0,United Kingdom
533314,10002,INFLATABLE POLITICAL GLOBE ,12,2010-11-16 17:12:00,0.85,13158.0,United Kingdom
543170,22493,PAINT YOUR OWN CANVAS SET,24,2011-02-04 09:03:00,1.65,17334.0,United Kingdom
520363,84828,JUNGLE POPSICLES ICE LOLLY HOLDERS,1,2010-08-25 14:04:00,2.51,,United Kingdom
496801,22249,DECORATION WHITE CHICK MAGIC GARDEN,1,2010-02-03 17:06:00,1.66,,United Kingdom
507235,72232,FENG SHUI PILLAR CANDLE,48,2010-05-07 09:04:00,0.19,14298.0,United Kingdom
568989,23203,JUMBO BAG VINTAGE DOILY ,10,2011-09-29 16:41:00,2.08,14709.0,United Kingdom
564635,85099C,JUMBO  BAG BAROQUE BLACK WHITE,20,2011-08-26 12:41:00,2.08,15615.0,United Kingdom
531690,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,3,2010-11-09 11:49:00,4.21,,United Kingdom
543451,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,14,2011-02-08 12:13:00,2.46,,United Kingdom
511544,21577,SAVE THE PLANET COTTON TOTE BAG,1,2010-06-08 17:48:00,5.06,,United Kingdom
577033,21098,CHRISTMAS TOILET ROLL,2,2011-11-17 13:16:00,1.25,17797.0,United Kingdom
537224,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,4,2010-12-05 16:24:00,2.95,13174.0,United Kingdom
534709,85049A,TRADITIONAL CHRISTMAS RIBBONS,3,2010-11-23 16:53:00,2.51,,United Kingdom
556905,23075,PARLOUR CERAMIC WALL HOOK,2,2011-06-15 13:05:00,4.15,16904.0,United Kingdom
558475,17084P,DRAGONS BLOOD INCENSE,1,2011-06-29 15:58:00,0.42,,United Kingdom
501807,21977,PACK OF 60 PINK PAISLEY CAKE CASES,7,2010-03-19 14:05:00,0.55,17799.0,United Kingdom
579470,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2011-11-29 15:06:00,2.95,16549.0,United Kingdom
538849,84849A,HELLO SAILOR BLUE SOAP HOLDER,4,2010-12-14 13:31:00,1.69,14415.0,United Kingdom
547828,22854,CREAM SWEETHEART EGG HOLDER,4,2011-03-25 15:18:00,4.95,16618.0,United Kingdom
569669,22557,PLASTERS IN TIN VINTAGE PAISLEY ,2,2011-10-05 13:47:00,1.65,14730.0,United Kingdom
529082,84991,60 TEATIME FAIRY CAKE CASES,1,2010-10-26 13:11:00,0.55,14546.0,United Kingdom
558368,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,96,2011-06-28 15:36:00,0.29,14329.0,United Kingdom
C493898,M,Manual,-1,2010-01-08 10:40:00,780.52,14911.0,EIRE
511611,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2010-06-09 11:28:00,2.95,15352.0,United Kingdom
564756,22747,POPPY'S PLAYHOUSE BATHROOM,1,2011-08-30 10:33:00,4.13,,United Kingdom
569667,22596,CHRISTMAS STAR WISH LIST CHALKBOARD,12,2011-10-05 13:42:00,1.25,17521.0,United Kingdom
518065,84029E,RED WOOLLY HOTTIE WHITE HEART.,12,2010-08-04 12:41:00,2.95,14298.0,United Kingdom
536409,22153,ANGEL DECORATION STARS ON DRESS,6,2010-12-01 11:45:00,0.42,17908.0,United Kingdom
505723,21900,"KEY FOB , SHED",3,2010-04-25 13:48:00,0.65,17146.0,United Kingdom
501475,22068,BLACK PIRATE TREASURE CHEST,1,2010-03-16 16:59:00,3.36,,United Kingdom
502234,20723,STRAWBERRY CHARLOTTE BAG,10,2010-03-23 12:24:00,0.85,16327.0,United Kingdom
562420,21985,PACK OF 12 HEARTS DESIGN TISSUES ,1,2011-08-04 16:38:00,0.83,,United Kingdom
578479,23082,SET 6 PAPER TABLE LANTERN HEARTS ,4,2011-11-24 12:48:00,3.75,15858.0,United Kingdom
551958,22431,WATERING CAN BLUE ELEPHANT,6,2011-05-05 12:37:00,1.95,13883.0,United Kingdom
501307,84978,HANGING HEART JAR T-LIGHT HOLDER,1,2010-03-15 17:32:00,2.51,,United Kingdom
492414,21100,CHARLIE AND LOLA CHARLOTTE BAG,1,2009-12-16 17:01:00,3.43,,United Kingdom
555572,22413,METAL SIGN TAKE IT OR LEAVE IT ,6,2011-06-05 15:37:00,2.95,12449.0,Belgium
572758,21166,COOK WITH WINE METAL SIGN ,1,2011-10-25 18:39:00,4.13,,United Kingdom
570818,84510A,SET OF 4 ENGLISH ROSE COASTERS,1,2011-10-12 12:47:00,1.25,17841.0,United Kingdom
524506,22649,STRAWBERRY FAIRY CAKE TEAPOT,8,2010-09-29 12:40:00,4.95,17470.0,United Kingdom
492543,20747,PICCADILLY TEA SET,1,2009-12-17 13:41:00,14.95,,United Kingdom
573483,21314,SMALL GLASS HEART TRINKET POT,24,2011-10-31 11:32:00,2.1,15793.0,United Kingdom
546392,84510C,SET OF 4 POLKADOT COASTERS,1,2011-03-11 14:15:00,1.25,14587.0,United Kingdom
574839,23284,DOORMAT KEEP CALM AND COME IN,1,2011-11-07 11:40:00,8.25,15493.0,United Kingdom
577309,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12,2011-11-18 13:14:00,0.85,15933.0,United Kingdom
516146,21328,BALLOONS  WRITING SET ,1,2010-07-16 17:58:00,3.36,,United Kingdom
579457,22469,HEART OF WICKER SMALL,12,2011-11-29 14:20:00,1.65,14824.0,United Kingdom
567024,22114,HOT WATER BOTTLE TEA AND SYMPATHY,14,2011-09-16 11:23:00,9.13,,United Kingdom
547498,22633,HAND WARMER UNION JACK,3,2011-03-23 12:24:00,2.1,15021.0,United Kingdom
519407,22083,PAPER CHAIN KIT RETRO SPOT,6,2010-08-17 09:47:00,2.95,15498.0,United Kingdom
537614,22728,ALARM CLOCK BAKELIKE PINK,2,2010-12-07 13:29:00,3.75,16904.0,United Kingdom
506472,22584,PACK OF 6 PANNETONE GIFT BOXES,6,2010-04-30 09:47:00,2.55,17230.0,United Kingdom
539631,22740,POLKADOT PEN,2,2010-12-20 15:03:00,1.66,,United Kingdom
503217,22568,FELTCRAFT CUSHION OWL,1,2010-03-30 16:17:00,3.75,18002.0,United Kingdom
572074,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,2,2011-10-20 13:54:00,2.95,16284.0,United Kingdom
553345,21136,PAINTED METAL PEARS ASSORTED,16,2011-05-16 12:53:00,1.69,16729.0,United Kingdom
525167,22570,FELTCRAFT CUSHION RABBIT,4,2010-10-04 12:14:00,3.75,12486.0,Sweden
534459,21829,DINOSAUR KEYRINGS ASSORTED,2,2010-11-23 09:12:00,0.43,,United Kingdom
530972,21213,PACK OF 72 SKULL CAKE CASES,24,2010-11-05 09:47:00,0.55,13846.0,United Kingdom
563171,22896,PEG BAG APPLES DESIGN,6,2011-08-12 12:46:00,2.55,16317.0,United Kingdom
500751,84795D,SEASIDE STRIPE HAMMOCK,2,2010-03-10 10:25:00,7.95,13081.0,United Kingdom
564825,84968A,SET OF 16 VINTAGE ROSE CUTLERY,1,2011-08-30 12:26:00,24.96,,United Kingdom
576255,22866,HAND WARMER SCOTTY DOG DESIGN,2,2011-11-14 14:09:00,2.1,15993.0,United Kingdom
499498,71053,WHITE METAL LANTERN,2,2010-02-28 14:34:00,3.75,14396.0,United Kingdom
540698,82600,NO SINGING METAL SIGN,48,2011-01-11 09:24:00,2.21,17450.0,United Kingdom
